"Rank","name","pop2020","pop2019","GrowthRate","area","Density"
1,"China","1439323.7760","1433783.6860","1.0039",9706961,"147.7068"
2,"India","1380004.3850","1366417.7540","1.0099",3287590,"415.6290"
3,"United States","331002.6510","329064.9170","1.0059",9372610,"35.1092"
4,"Indonesia","273523.6150","270625.5680","1.0107",1904569,"142.0928"
5,"Pakistan","220892.3400","216565.3180","1.0200",881912,"245.5634"
6,"Brazil","212559.4170","211049.5270","1.0072",8515767,"24.7834"
7,"Nigeria","206139.5890","200963.5990","1.0258",923768,"217.5477"
8,"Bangladesh","164689.3830","163046.1610","1.0101",147570,"1104.8734"
9,"Russia","145934.4620","145872.2560","1.0004",17098242,"8.5314"
10,"Mexico","128932.7530","127575.5290","1.0106",1964375,"64.9446"
11,"Japan","126476.4610","126860.3010","0.9970",377930,"335.6714"
12,"Ethiopia","114963.5880","112078.7300","1.0257",1104300,"101.4930"
13,"Philippines","109581.0780","108116.6150","1.0135",342353,"315.8045"
14,"Egypt","102334.4040","100388.0730","1.0194",1002450,"100.1427"
15,"Vietnam","97338.5790","96462.1060","1.0091",331212,"291.2398"
16,"DR Congo","89561.4030","86790.5670","1.0319",2344858,"37.0131"
18,"Turkey","84339.0670","83429.6150","1.0109",783562,"106.4748"
19,"Iran","83992.9490","82913.9060","1.0130",1648195,"50.3059"
17,"Germany","83783.9420","83517.0450","1.0032",357114,"233.8666"
20,"Thailand","69799.9780","69625.5820","1.0025",513120,"135.6906"
21,"United Kingdom","67886.0110","67530.1720","1.0053",242900,"278.0164"
22,"France","65273.5110","65129.7280","1.0022",551695,"118.0539"
23,"Italy","60461.8260","60550.0750","0.9985",301336,"200.9387"
25,"Tanzania","59734.2180","58005.4630","1.0298",945087,"61.3758"
24,"South Africa","59308.6900","58558.2700","1.0128",1221037,"47.9578"
26,"Myanmar","54409.8000","54045.4200","1.0067",676578,"79.8805"
27,"Kenya","53771.2960","52573.9730","1.0228",580367,"90.5875"
28,"South Korea","51269.1850","51225.3080","1.0009",100210,"511.1796"
29,"Colombia","50882.8910","50339.4430","1.0108",1141748,"44.0898"
30,"Spain","46754.7780","46736.7760","1.0004",505992,"92.3666"
32,"Uganda","45741.0070","44269.5940","1.0332",241550,"183.2730"
31,"Argentina","45195.7740","44780.6770","1.0093",2780400,"16.1058"
34,"Algeria","43851.0440","43053.0540","1.0185",2381741,"18.0763"
35,"Sudan","43849.2600","42813.2380","1.0242",1886068,"22.6997"
33,"Ukraine","43733.7620","43993.6380","0.9941",603500,"72.8975"
36,"Iraq","40222.4930","39309.7830","1.0232",438317,"89.6835"
37,"Afghanistan","38928.3460","38041.7540","1.0233",652230,"58.3257"
38,"Poland","37846.6110","37887.7680","0.9989",312679,"121.1715"
39,"Canada","37742.1540","37411.0470","1.0089",9984670,"3.7468"
40,"Morocco","36910.5600","36471.7690","1.0120",446550,"81.6745"
41,"Saudi Arabia","34813.8710","34268.5280","1.0159",2149690,"15.9411"
42,"Uzbekistan","33469.2030","32981.7160","1.0148",447400,"73.7186"
43,"Peru","32971.8540","32510.4530","1.0142",1285216,"25.2957"
45,"Angola","32866.2720","31825.2950","1.0327",1246700,"25.5276"
44,"Malaysia","32365.9990","31949.7770","1.0130",330803,"96.5825"
47,"Mozambique","31255.4350","30366.0360","1.0293",801590,"37.8823"
46,"Ghana","31072.9400","30417.8560","1.0215",238533,"127.5205"
48,"Yemen","29825.9640","29161.9220","1.0228",527968,"55.2343"
49,"Nepal","29136.8080","28608.7100","1.0185",147181,"194.3777"
50,"Venezuela","28435.9400","28515.8290","0.9972",916445,"31.1157"
51,"Madagascar","27691.0180","26969.3070","1.0268",587041,"45.9411"
52,"Cameroon","26545.8630","25876.3800","1.0259",475442,"54.4259"
53,"Ivory Coast","26378.2740","25716.5440","1.0257",322463,"79.7504"
54,"North Korea","25778.8160","25666.1610","1.0044",120538,"212.9300"
55,"Australia","25499.8840","25203.1980","1.0118",7692024,"3.2765"
57,"Niger","24206.6440","23310.7150","1.0384",1267000,"18.3984"
56,"Taiwan","23816.7750","23773.8760","1.0018",36193,"656.8639"
58,"Sri Lanka","21413.2490","21323.7330","1.0042",65610,"325.0074"
59,"Burkina Faso","20903.2730","20321.3780","1.0286",272967,"74.4463"
60,"Mali","20250.8330","19658.0310","1.0302",1240192,"15.8508"
61,"Romania","19237.6910","19364.5570","0.9934",238391,"81.2302"
63,"Malawi","19129.9520","18628.7470","1.0269",118484,"157.2258"
62,"Chile","19116.2010","18952.0380","1.0087",756102,"25.0655"
64,"Kazakhstan","18776.7070","18551.4270","1.0121",2724900,"6.8081"
65,"Zambia","18383.9550","17861.0300","1.0293",752612,"23.7321"
66,"Guatemala","17915.5680","17581.4720","1.0190",108889,"161.4623"
67,"Ecuador","17643.0540","17373.6620","1.0155",276841,"62.7568"
69,"Syria","17500.6580","17070.1350","1.0252",185180,"92.1813"
68,"Netherlands","17134.8720","17097.1300","1.0022",41850,"408.5336"
71,"Senegal","16743.9270","16296.3640","1.0275",196722,"82.8396"
70,"Cambodia","16718.9650","16486.5420","1.0141",181035,"91.0683"
72,"Chad","16425.8640","15946.8760","1.0300",1284000,"12.4197"
73,"Somalia","15893.2220","15442.9050","1.0292",637657,"24.2182"
74,"Zimbabwe","14862.9240","14645.4680","1.0148",390757,"37.4797"
75,"Guinea","13132.7950","12771.2460","1.0283",245857,"51.9458"
76,"Rwanda","12952.2180","12626.9500","1.0258",26338,"479.4195"
77,"Benin","12123.2000","11801.1510","1.0273",112622,"104.7855"
80,"Burundi","11890.7840","11530.5800","1.0312",27834,"414.2624"
78,"Tunisia","11818.6190","11694.7190","1.0106",163610,"71.4792"
81,"Bolivia","11673.0210","11513.1000","1.0139",1098581,"10.4800"
79,"Belgium","11589.6230","11539.3280","1.0044",30528,"377.9916"
83,"Haiti","11402.5280","11263.0770","1.0124",27750,"405.8766"
82,"Cuba","11326.6160","11333.4830","0.9994",109884,"103.1404"
84,"South Sudan","11193.7250","11062.1130","1.0119",619745,"17.8495"
85,"Dominican Republic","10847.9100","10738.9580","1.0101",48671,"220.6439"
86,"Czech Republic","10708.9810","10689.2090","1.0018",78865,"135.5381"
87,"Greece","10423.0540","10473.4550","0.9952",131990,"79.3504"
89,"Jordan","10203.1340","10101.6940","1.0100",89342,"113.0677"
88,"Portugal","10196.7090","10226.1870","0.9971",92090,"111.0456"
90,"Azerbaijan","10139.1770","10047.7180","1.0091",86600,"116.0245"
91,"Sweden","10099.2650","10036.3790","1.0063",450295,"22.2885"
93,"Honduras","9904.6070","9746.1170","1.0163",112492,"86.6383"
92,"United Arab Emirates","9890.4020","9770.5290","1.0123",83600,"116.8724"
94,"Hungary","9660.3510","9684.6790","0.9975",93028,"104.1050"
96,"Tajikistan","9537.6450","9321.0180","1.0232",143100,"65.1364"
95,"Belarus","9449.3230","9452.4110","0.9997",207600,"45.5318"
97,"Austria","9006.3980","8955.1020","1.0057",83871,"106.7723"
98,"Papua New Guinea","8947.0240","8776.1090","1.0195",462840,"18.9614"
99,"Serbia","8737.3710","8772.2350","0.9960",88361,"99.2772"
101,"Israel","8655.5350","8519.3770","1.0160",20770,"410.1770"
100,"Switzerland","8654.6220","8591.3650","1.0074",41284,"208.1040"
102,"Togo","8278.7240","8082.3660","1.0243",56785,"142.3328"
103,"Sierra Leone","7976.9830","7813.2150","1.0210",71740,"108.9102"
104,"Hong Kong","7496.9810","7436.1540","1.0082",1104,"6735.6467"
105,"Laos","7275.5600","7169.4550","1.0148",236800,"30.2764"
106,"Paraguay","7132.5380","7044.6360","1.0125",406752,"17.3192"
107,"Bulgaria","6948.4450","7000.1190","0.9926",110879,"63.1330"
109,"Libya","6871.2920","6777.4520","1.0138",1759540,"3.8518"
108,"Lebanon","6825.4450","6855.7130","0.9956",10452,"655.9236"
110,"Nicaragua","6624.5540","6545.5020","1.0121",130373,"50.2060"
112,"Kyrgyzstan","6524.1950","6415.8500","1.0169",199951,"32.0871"
111,"El Salvador","6486.2050","6453.5530","1.0051",21041,"306.7132"
113,"Turkmenistan","6031.2000","5942.0890","1.0150",488100,"12.1739"
114,"Singapore","5850.3420","5804.3370","1.0079",710,"8175.1225"
115,"Denmark","5792.2020","5771.8760","1.0035",43094,"133.9369"
116,"Finland","5540.7200","5532.1560","1.0015",338424,"16.3468"
118,"Republic of the Congo","5518.0870","5380.5080","1.0256",342000,"15.7325"
117,"Slovakia","5459.6420","5457.0130","1.0005",49037,"111.2836"
119,"Norway","5421.2410","5378.8570","1.0079",323802,"16.6116"
122,"Oman","5106.6260","4974.9860","1.0265",309500,"16.0743"
121,"Palestine","5101.4140","4981.4200","1.0241",6220,"800.8714"
120,"Costa Rica","5094.1180","5047.5610","1.0092",51100,"98.7781"
123,"Liberia","5057.6810","4937.3740","1.0244",111369,"44.3335"
124,"Ireland","4937.7860","4882.4950","1.0113",70273,"69.4790"
126,"Central African Republic","4829.7670","4745.1850","1.0178",622984,"7.6169"
125,"New Zealand","4822.2330","4783.0630","1.0082",270467,"17.6845"
127,"Mauritania","4649.6580","4525.6960","1.0274",1030700,"4.3909"
128,"Panama","4314.7670","4246.4390","1.0161",75417,"56.3061"
129,"Kuwait","4270.5710","4207.0830","1.0151",17818,"236.1142"
130,"Croatia","4105.2670","4130.3040","0.9939",56594,"72.9813"
131,"Moldova","4033.9630","4043.2630","0.9977",33846,"119.4606"
132,"Georgia","3989.1670","3996.7650","0.9981",69700,"57.3424"
133,"Eritrea","3546.4210","3497.1170","1.0141",117600,"29.7374"
134,"Uruguay","3473.7300","3461.7340","1.0035",181034,"19.1220"
135,"Bosnia and Herzegovina","3280.8190",3301,"0.9939",51209,"64.4613"
136,"Mongolia","3278.2900","3225.1670","1.0165",1564110,"2.0620"
137,"Armenia","2963.2430","2957.7310","1.0019",29743,"99.4429"
138,"Jamaica","2961.1670","2948.2790","1.0044",10991,"268.2448"
141,"Qatar","2881.0530","2832.0670","1.0173",11586,"244.4387"
140,"Albania","2877.7970","2880.9170","0.9989",28748,"100.2128"
139,"Puerto Rico","2860.8530","2933.4080","0.9753",8870,"330.7112"
142,"Lithuania","2722.2890","2759.6270","0.9865",65300,"42.2608"
143,"Namibia","2540.9050","2494.5300","1.0186",825615,"3.0214"
144,"Gambia","2416.6680","2347.7060","1.0294",10689,"219.6376"
145,"Botswana","2351.6270","2303.6970","1.0208",582000,"3.9582"
146,"Gabon","2225.7340","2172.5790","1.0245",267668,"8.1167"
147,"Lesotho","2142.2490","2125.2680","1.0080",30355,"70.0138"
148,"Macedonia","2083.3740","2083.4590","1.0000",25713,"81.0275"
149,"Slovenia","2078.9380","2078.6540","1.0001",20273,"102.5331"
150,"Guinea-Bissau","1968.0010","1920.9220","1.0245",36125,"53.1743"
151,"Latvia","1886.1980","1906.7430","0.9892",64559,"29.5349"
152,"Bahrain","1701.5750","1641.1720","1.0368",765,"2145.3229"
154,"Equatorial Guinea","1402.9850","1355.9860","1.0347",28051,"48.3400"
153,"Trinidad and Tobago","1399.4880","1394.9730","1.0032",5130,"271.9246"
155,"Estonia","1326.5350","1325.6480","1.0007",45227,"29.3110"
156,"Timor-Leste","1318.4450","1293.1190","1.0196",14874,"86.9382"
157,"Mauritius","1271.7680","1269.6680","1.0017",2040,"622.3863"
158,"Cyprus","1207.3590","1198.5750","1.0073",9251,"129.5617"
159,"Swaziland","1160.1640","1148.1300","1.0105",17364,"66.1213"
160,"Djibouti",988,"973.5600","1.0148",23200,"41.9638"
161,"Fiji","896.4450","889.9530","1.0073",18272,"48.7058"
162,"Reunion","895.3120","888.9270","1.0072",2511,"354.0131"
163,"Comoros","869.6010","850.8860","1.0220",1862,"456.9742"
164,"Guyana","786.5520","782.7660","1.0048",214969,"3.6413"
165,"Bhutan","771.6080","763.0920","1.0112",38394,"19.8753"
166,"Solomon Islands","686.8840","669.8230","1.0255",28896,"23.1805"
167,"Macau","649.3350","640.4450","1.0139",30,"21348.1667"
168,"Montenegro","628.0660","627.9870","1.0001",13812,"45.4668"
169,"Luxembourg","625.9780","615.7290","1.0166",2586,"238.1009"
170,"Western Sahara","597.3390","582.4630","1.0255",266000,"2.1897"
171,"Suriname","586.6320","581.3720","1.0090",163820,"3.5488"
172,"Cape Verde","555.9870","549.9350","1.0110",4033,"136.3588"
173,"Maldives","540.5440","530.9530","1.0181",300,"1769.8433"
174,"Malta","441.5430","440.3720","1.0027",316,"1393.5823"
175,"Brunei","437.4790","433.2850","1.0097",5765,"75.1578"
176,"Guadeloupe","400.1240","400.0560","1.0002",1628,"245.7346"
177,"Belize","397.6280","390.3530","1.0186",22966,"16.9970"
178,"Bahamas","393.2440","389.4820","1.0097",13943,"27.9339"
179,"Martinique","375.2650","375.5540","0.9992",1128,"332.9379"
180,"Iceland","341.2430","339.0310","1.0065",103000,"3.2916"
181,"Vanuatu","307.1450","299.8820","1.0242",12189,"24.6027"
182,"French Guiana","298.6820","290.8320","1.0270",83534,"3.4816"
183,"Barbados","287.3750","287.0250","1.0012",430,"667.5000"
184,"New Caledonia","285.4980","282.7500","1.0097",18575,"15.2221"
185,"French Polynesia","280.9080","279.2870","1.0058",4167,"67.0235"
186,"Mayotte","272.8150","266.1500","1.0250",374,"711.6310"
187,"Sao Tome and Principe","219.1590","215.0560","1.0191",964,"223.0871"
188,"Samoa","198.4140","197.0970","1.0067",2842,"69.3515"
189,"Saint Lucia","183.6270","182.7900","1.0046",616,"296.7370"
190,"Guam","168.7750","167.2940","1.0089",549,"304.7250"
191,"Curacao","164.0930","163.4240","1.0041",444,"368.0721"
192,"Kiribati","119.4490","117.6060","1.0157",811,"145.0136"
193,"Micronesia","115.0230","113.8150","1.0106",702,"162.1296"
194,"Grenada","112.5230","112.0030","1.0046",344,"325.5901"
195,"Saint Vincent and the Grenadines","110.9400","110.5890","1.0032",389,"284.2905"
196,"Aruba","106.7660","106.3140","1.0043",180,"590.6333"
198,"Tonga","105.6950","104.4940","1.0115",747,"139.8849"
197,"United States Virgin Islands","104.4250","104.5780","0.9985",347,"301.3775"
199,"Seychelles","98.3470","97.7390","1.0062",452,"216.2367"
200,"Antigua and Barbuda","97.9290","97.1180","1.0084",442,"219.7240"
201,"Isle of Man","85.0330","84.5840","1.0053",572,"147.8741"
202,"Andorra","77.2650","77.1420","1.0016",468,"164.8333"
203,"Dominica","71.9860","71.8080","1.0025",751,"95.6165"
204,"Cayman Islands","65.7220","64.9480","1.0119",264,"246.0152"
205,"Bermuda","62.2780","62.5060","0.9964",54,"1157.5185"
206,"Marshall Islands","59.1900","58.7910","1.0068",181,"324.8122"
207,"Northern Mariana Islands","57.5590","57.2160","1.0060",464,"123.3103"
208,"Greenland","56.7700","56.6720","1.0017",2166086,"0.0262"
209,"American Samoa","55.1910","55.3120","0.9978",199,"277.9497"
210,"Saint Kitts and Nevis","53.1990","52.8230","1.0071",261,"202.3870"
211,"Faroe Islands","48.8630","48.6780","1.0038",1393,"34.9447"
212,"Sint Maarten","42.8760","42.3880","1.0115",34,"1246.7059"
213,"Monaco","39.2420","38.9640","1.0071","2.0200","19289.1089"
214,"Turks and Caicos Islands","38.7170","38.1910","1.0138",948,"40.2859"
216,"Saint Martin","38.6660","38.0020","1.0175",53,"717.0189"
215,"Liechtenstein","38.1280","38.0190","1.0029",160,"237.6188"
217,"San Marino","33.9310","33.8600","1.0021",61,"555.0820"
218,"Gibraltar","33.6910","33.7010","0.9997",6,"5616.8333"
219,"British Virgin Islands","30.2310","30.0300","1.0067",151,"198.8742"
220,"Palau","18.0940","18.0080","1.0048",459,"39.2331"
221,"Cook Islands","17.5640","17.5480","1.0009",236,"74.3559"
222,"Anguilla","15.0030","14.8690","1.0090",91,"163.3956"
223,"Tuvalu","11.7920","11.6460","1.0125",26,"447.9231"
224,"Wallis and Futuna","11.2390","11.4320","0.9831",142,"80.5070"
225,"Nauru","10.8240","10.7560","1.0063",21,"512.1905"
226,"Saint Barthélemy","9.8770","9.8470","1.0030",21,"468.9048"
227,"Saint Pierre and Miquelon","5.7940","5.8220","0.9952",242,"24.0579"
228,"Montserrat","4.9920","4.9890","1.0006",102,"48.9118"
229,"Falkland Islands","3.4800","3.3770","1.0305",12173,"0.2774"
230,"Niue","1.6260","1.6150","1.0068",260,"6.2115"
231,"Tokelau","1.3570","1.3400","1.0127",12,"111.6667"
232,"Vatican City","0.8010","0.7990","1.0025","0.4400","1815.9091"