Population density (number of people per square kilometer),,,
Rank,Country,Population density (Number of people per square kilometer),
1,Macau,"21,501.42",
2,Monaco,"15,363.50",
3,Singapore,"8,337.03",
4,Hong Kong,"6,510.23",
5,Gaza Strip,"5,101.98",
6,Gibraltar,"4,532.46",
7,Holy See (Vatican City),"2,272.73",
8,Bahrain,"1,898.24",
9,Malta,"1,421.02",
10,Bermuda,"1,318.07",
11,Maldives,"1,317.02",
12,Bangladesh,"1,074.05",
13,Jersey,858.64,
14,Guernsey,855.09,
15,Barbados,681.7,
16,Coral Sea Islands,672.33,
17,Mauritius,668.77,
18,Taiwan,654.42,
19,Aruba,647.64,
20,Saint Martin,593.46,
21,Lebanon,586.55,
22,San Marino,553.75,
23,"Korea, South",515.62,
24,West Bank,477.56,
25,Rwanda,462.73,
26,Nauru,461.52,
27,Tuvalu,428.73,
28,Burundi,425.6,
29,Marshall Islands,418.14,
30,Netherlands,412.85,
31,India,394.5,
32,Haiti,388.77,
33,Israel,384.05,
34,Belgium,379.02,
35,Comoros,367.41,
36,Puerto Rico,361.89,
37,Philippines,352.98,
38,Sri Lanka,344.1,
39,Japan,333.85,
40,Grenada,326.18,
41,Wake Island,310.46,
42,Guam,308.4,
43,El Salvador,294.06,
44,Vietnam,292.99,
45,Saint Barthelemy,286.4,
46,Saint Lucia,268.69,
47,United Kingdom,267.25,
48,Saint Vincent and the Grenadines,261.81,
49,Pakistan,261.1,
50,Jamaica,255.85,
51,Liechtenstein,240.92,
52,British Virgin Islands,237.1,
53,Trinidad and Tobago,237.04,
54,Luxembourg,234.25,
55,American Samoa,226.9,
56,Cayman Islands,225.81,
57,Germany,225.36,
58,Nigeria,220.24,
59,Antigua and Barbuda,216.63,
60,Sao Tome and Principe,212.09,
61,Dominican Republic,211.6,
62,"Korea, North",210.57,
63,Seychelles,207.98,
64,Italy,206.57,
65,Qatar,204,
66,Saint Kitts and Nevis,203.43,
67,Nepal,201.91,
68,Switzerland,200.91,
69,Anguilla,191.45,
70,Paracel Islands,185.81,
71,"Gambia, The",185.2,
72,Andorra,183.14,
73,Kosovo,175.22,
74,Uganda,169.49,
75,Malawi,167.47,
76,Kuwait,163.68,
77,Isle of Man,156.31,
78,Guatemala,152.28,
79,"Micronesia, Federated States of",147.64,
80,China,144.28,
81,Togo,143.99,
82,Tonga,142.43,
83,Cape Verde,140.93,
84,Indonesia,137.98,
85,Czech Republic,135.5,
86,Kiribati,134.85,
87,Denmark,134.81,
88,Thailand,133.72,
89,Akrotiri,126.02,
90,Poland,122.87,
91,Ghana,117.81,
92,Jordan,117.06,
93,United Arab Emirates,116.04,
94,Azerbaijan,116.01,
95,Portugal,112.45,
96,Northern Mariana Islands,112.06,
97,Slovakia,111.04,
98,Wallis and Futuna,111.01,
99,Tokelau,107.08,
100,Albania,106.35,
101,Hungary,105.62,
102,Austria,104.84,
103,France,104.64,
104,Syria,103.79,
105,Turkey,103.7,
106,Slovenia,103.69,
107,Armenia,102.15,
108,Moldova,101.55,
109,Benin,100.7,
110,Cuba,100.27,
111,Egypt,99.27,
112,Dominica,98.57,
113,Ethiopia,98.15,
114,Spain,97.61,
115,Costa Rica,97.6,
116,Malaysia,96.44,
117,Iraq,91.7,
118,Serbia,91.36,
119,Cambodia,90.86,
120,Romania,90.01,
121,East Timor,88.88,
122,Sierra Leone,87.99,
123,Kenya,83.39,
124,Macedonia,82.41,
125,Burma,82.21,
126,Honduras,81.92,
127,Greece,81.55,
128,Cote d'Ivoire,81.44,
129,Brunei,78.16,
130,Morocco,76.84,
131,Senegal,76.36,
132,Croatia,75.46,
133,Bosnia and Herzegovina,75.2,
134,Ukraine,72.82,
135,Ireland,72.12,
136,Burkina Faso,72,
137,Samoa,71.11,
138,Tunisia,70.39,
139,French Polynesia,69.68,
140,Uzbekistan,67.11,
141,Lesotho,64.65,
142,Mexico,64.12,
143,Bulgaria,63.65,
144,Swaziland,62.61,
145,Tajikistan,59.71,
146,Tanzania,58.54,
147,Ecuador,58.18,
148,Georgia,57.35,
149,Turks and Caicos Islands,56.65,
150,Virgin Islands,56.01,
151,Yemen,54.3,
152,Cameroon,53.93,
153,Afghanistan,53.57,
154,Montserrat,52.11,
155,Eritrea,50.77,
156,Guinea-Bissau,50.75,
157,Fiji,50.69,
158,Panama,50.39,
159,Iran,50.37,
160,Norfolk Island,48.56,
161,Guinea,48.22,
162,Palau,46.88,
163,Nicaragua,46.68,
164,Belarus,45.89,
165,South Africa,45.43,
166,Montenegro,44.47,
167,Madagascar,43.75,
168,Liberia,43.19,
169,Lithuania,42.78,
170,Cocos (Keeling) Islands,42.57,
171,Colombia,42.29,
172,Cook Islands,38.3,
173,Djibouti,38.1,
174,Faroe Islands,36.62,
175,"Congo, Democratic Republic of the",36.37,
176,Zimbabwe,35.91,
177,Venezuela,34.74,
178,Mozambique,34.07,
179,United States,33.48,
180,Laos,30.55,
181,Latvia,29.78,
182,Kyrgyzstan,29.25,
183,Equatorial Guinea,28.43,
184,Estonia,27.51,
185,Brazil,24.52,
186,Peru,24.38,
187,Angola,24.35,
188,"Bahamas, The",23.96,
189,Chile,23.71,
190,Vanuatu,23.63,
191,Sudan,23.16,
192,Solomon Islands,22.84,
193,Saint Pierre and Miquelon,22.61,
194,Sweden,22.3,
195,Zambia,21.85,
196,British Indian Ocean Territory,20,
197,Bhutan,19.96,
198,Saint Helena,19.9,
199,Uruguay,19.12,
200,Somalia,17.66,
201,Algeria,17.49,
202,Paraguay,17.27,
203,New Zealand,16.91,
204,Belize,16.8,
205,Norway,16.59,
206,Finland,16.38,
207,Christmas Island,16.33,
208,Argentina,16.07,
209,South Sudan,15.84,
210,Niger,15.68,
211,Saudi Arabia,15.39,
212,New Caledonia,15.22,
213,Papua New Guinea,15.18,
214,Oman,14.91,
215,Mali,14.86,
216,"Congo, Republic of the",14.8,
217,Chad,12.33,
218,Turkmenistan,11.09,
219,Bolivia,10.29,
220,Central African Republic,9.22,
221,Russia,8.31,
222,Gabon,7.92,
223,Kazakhstan,6.88,
224,Niue,6.22,
225,Botswana,3.87,
226,Libya,3.84,
227,Mauritania,3.73,
228,Suriname,3.65,
229,Canada,3.59,
230,Guyana,3.45,
231,Iceland,3.34,
232,Namibia,3.07,
233,Australia,3.03,
234,Western Sahara,2.33,
235,Mongolia,1.98,
236,Pitcairn Islands,1.15,
237,Falkland Islands (Islas Malvinas),0.26,
238,Svalbard,0.04,
239,Greenland,0.03,
240,Antarctica,0,
