Corona Virus data from WorldMeters 2020,,,,,,,,,,,,,
,,,,,,,,,,,,,
#,"Country,",Total,New,Total,New,Total,Active,"Serious,",TotÿCases/,Deaths/,Total,Tests/,Population
,Other,Cases,Cases,Deaths,Deaths,Recovered,Cases,Critical,1M pop,1M pop,Tests,1M pop,
,World,"6,086,407","59,989","368,468","2,046","2,697,211","3,020,728","53,559",781,47.3,,,
1,USA,"1,802,180","8,650","104,786",244,"520,928","1,176,466","17,203","5,447",317,"16,908,725","51,110","330,832,890"
2,Brazil,"469,510","1,172","28,015",71,"193,181","248,314","8,318","2,210",132,"930,013","4,378","212,426,274"
3,Russia,"396,575","8,952","4,555",181,"167,469","224,551","2,300","2,718",31,"10,316,200","70,693","145,929,167"
4,Spain,"285,644",,"27,121",,"196,958","61,565",617,"6,110",580,"3,556,567","76,071","46,753,246"
5,UK,"272,826","1,604","38,376",215,N/A,N/A,"1,559","4,021",566,"4,043,686","59,593","67,854,937"
6,Italy,"232,664",416,"33,340",111,"155,633","43,691",450,"3,848",551,"3,824,621","63,249","60,469,262"
7,France,"186,835",,"28,714",,"67,803","90,318","1,361","2,863",440,"1,384,633","21,217","65,261,155"
8,Germany,"183,149",130,"8,598",4,"164,900","9,651",729,"2,187",103,"3,952,971","47,194","83,760,886"
9,India,"181,401","7,910","5,170",190,"86,668","89,563","8,944",132,4,"3,611,599","2,619","1,378,789,216"
10,Turkey,"162,120",,"4,489",,"125,963","31,668",662,"1,924",53,"1,964,364","23,314","84,257,335"
11,Iran,"148,950","2,282","7,734",57,"116,827","24,389","2,533","1,775",92,"896,571","10,687","83,894,952"
12,Peru,"148,285",,"4,230",,"62,791","81,264",926,"4,503",128,"963,617","29,263","32,929,707"
13,Chile,"94,858","4,220",997,53,"40,431","53,430","1,371","4,966",52,"563,320","29,491","19,101,613"
14,Canada,"90,161",743,"7,073",94,"48,050","35,038","1,618","2,391",188,"1,596,449","42,332","37,712,703"
15,Mexico,"84,627","3,227","9,415",371,"59,610","15,602",378,657,73,"244,858","1,901","128,810,940"
16,Saudi Arabia,"83,384","1,618",480,22,"58,883","24,021",384,"2,399",14,"806,569","23,202","34,763,636"
17,China,"82,999",4,"4,634",,"78,302",63,3,58,3,,,"1,439,323,776"
18,Pakistan,"66,457","2,429","1,395",78,"24,131","40,931",111,301,6,"532,037","2,413","220,485,909"
19,Belgium,"58,186",125,"9,453",23,"15,769","32,964",173,"5,022",816,"848,065","73,202","11,585,252"
20,Qatar,"55,262","2,355",36,,"25,839","29,387",217,"19,211",13,"217,988","75,782","2,876,510"
21,Netherlands,"46,257",131,"5,951",20,N/A,N/A,170,"2,700",347,"349,150","20,380","17,131,629"
22,Bangladesh,"44,608","1,764",610,28,"9,375","34,623",1,271,4,"297,054","1,805","164,542,316"
23,Belarus,"41,658",894,229,5,"17,964","23,465",92,"4,408",24,"526,559","55,723","9,449,585"
24,Ecuador,"38,571",,"3,334",,"19,190","16,047",220,"2,189",189,"113,808","6,460","17,618,288"
25,Sweden,"37,113",637,"4,395",45,"4,971","27,747",190,"3,677",435,"238,800","23,658","10,093,745"
26,Singapore,"34,366",506,23,,"20,727","13,616",7,"5,878",4,"334,691","57,249","5,846,269"
27,UAE,"33,170",,260,,"17,097","15,813",1,"3,357",26,"2,110,493","213,622","9,879,555"
28,Portugal,"32,203",257,"1,396",13,"19,186","11,621",66,"3,157",137,"795,838","78,030","10,199,174"
29,Switzerland,"30,845",17,"1,919",,"28,400",526,27,"3,566",222,"394,717","45,637","8,649,038"
30,South Africa,"29,240",,611,,"15,093","13,536",128,494,10,"680,175","11,482","59,240,605"
31,Colombia,"26,688",,853,,"6,913","18,922",136,525,17,"306,411","6,028","50,834,077"
32,Kuwait,"26,192","1,008",205,11,"10,156","15,831",206,"6,142",48,"290,013","68,002","4,264,746"
33,Indonesia,"25,773",557,"1,573",53,"7,015","17,185",,94,6,"311,906","1,141","273,263,419"
34,Ireland,"24,929",53,"1,651",6,"22,089","1,189",42,"5,054",335,"325,795","66,047","4,932,806"
35,Poland,"23,571",416,"1,061",10,"11,016","11,494",160,623,28,"899,069","23,753","37,850,086"
36,Ukraine,"23,204",393,696,17,"9,311","13,197",273,530,16,"348,279","7,960","43,755,130"
37,Egypt,"22,082",,879,,"5,511","15,692",41,216,9,"135,000","1,322","102,152,100"
38,Romania,"19,133",151,"1,259",11,"13,046","4,828",160,994,65,"425,819","22,123","19,248,085"
39,Philippines,"17,224",590,950,8,"3,808","12,466",56,157,9,"340,954","3,115","109,447,729"
40,Israel,"17,008",21,284,,"14,776","1,948",39,"1,849",31,"567,429","61,693","9,197,590"
41,Japan,"16,719",,874,,"14,254","1,591",131,132,7,"284,763","2,251","126,508,530"
42,Austria,"16,685",30,668,,"15,520",497,23,"1,853",74,"442,143","49,117","9,001,908"
43,Dominican Republic,"16,531",,488,,"9,266","6,777",106,"1,525",45,"76,930","7,098","10,838,156"
44,Argentina,"15,419",,524,4,"4,788","10,107",259,341,12,"150,486","3,332","45,158,774"
45,Afghanistan,"14,525",866,249,3,"1,303","12,973",19,374,6,"37,348",961,"38,843,762"
46,Panama,"12,531",,326,,"7,540","4,665",79,"2,908",76,"63,202","14,669","4,308,467"
47,Denmark,"11,633",40,571,3,"10,327",735,20,"2,009",99,"618,860","106,876","5,790,443"
48,S. Korea,"11,441",39,269,,"10,398",774,15,223,5,"902,901","17,612","51,265,441"
49,Serbia,"11,381",27,242,,"6,606","4,533",10,"1,302",28,"242,782","27,777","8,740,269"
50,Bahrain,"10,740",291,15,,"5,811","4,914",10,"6,335",9,"308,698","182,074","1,695,455"
51,Oman,"10,423",603,42,1,"2,396","7,985",31,"2,046",8,"72,000","14,135","5,093,884"
52,Kazakhstan,"10,382",450,38,1,"5,220","5,124",62,554,2,"788,289","42,028","18,756,335"
53,Nigeria,"9,302",,261,,"2,697","6,344",7,45,1,"60,825",296,"205,640,180"
54,Algeria,"9,267",133,646,8,"5,549","3,072",34,212,15,,,"43,776,603"
55,Czechia,"9,226",30,319,,"6,532","2,375",19,862,30,"436,372","40,755","10,707,285"
56,Armenia,"8,927",251,127,7,"3,317","5,483",10,"3,013",43,"57,081","19,266","2,962,770"
57,Bolivia,"8,731",344,300,7,749,"7,682",3,749,26,"22,294","1,912","11,658,434"
58,Norway,"8,435",13,236,,"7,727",472,8,"1,557",44,"245,352","45,289","5,417,490"
59,Moldova,"8,098",202,291,3,"4,455","3,352",256,"2,007",72,"40,565","10,054","4,034,743"
60,Ghana,"7,768",152,35,1,"2,540","5,193",17,250,1,"211,622","6,824","31,010,956"
61,Malaysia,"7,762",30,115,,"6,330","1,317",9,240,4,"546,368","16,901","32,328,196"
62,Morocco,"7,740",26,203,1,"5,377","2,160",1,210,6,"196,469","5,329","36,870,903"
63,Australia,"7,185",12,103,,"6,606",476,4,282,4,"1,428,538","56,080","25,473,105"
64,Finland,"6,826",50,316,2,"5,500","1,010",11,"1,232",57,"182,700","32,978","5,539,987"
65,Iraq,"6,179",306,195,10,"3,110","2,874",36,154,5,"211,485","5,269","40,135,453"
66,Cameroon,"5,659",223,185,8,"3,441","2,033",28,214,7,,,"26,481,233"
67,Azerbaijan,"5,246",257,61,3,"3,327","1,858",42,518,6,"294,264","29,046","10,131,032"
68,Honduras,"4,886",134,199,3,528,"4,159",13,494,20,"14,790","1,495","9,889,983"
69,Guatemala,"4,607",259,90,10,648,"3,869",5,258,5,"31,427","1,757","17,884,332"
70,Sudan,"4,521",,233,,816,"3,472",,103,5,401,9,"43,750,011"
71,Luxembourg,"4,016",4,110,,"3,815",91,4,"6,425",176,"74,366","118,980","625,031"
72,Hungary,"3,867",26,524,7,"2,142","1,201",22,400,54,"183,562","18,998","9,662,389"
73,Tajikistan,"3,807",121,47,,"1,865","1,895",,400,5,,,"9,516,984"
74,Guinea,"3,656",,22,,"2,000","1,634",24,279,2,"14,407","1,100","13,097,504"
75,Senegal,"3,535",106,42,1,"1,761","1,732",14,212,3,"40,735","2,439","16,700,407"
76,Uzbekistan,"3,523",55,14,,"2,783",726,7,105,0.4,"460,000","13,762","33,424,544"
77,Djibouti,"3,194",280,22,2,"1,286","1,886",,"3,237",22,"26,366","26,722","986,677"
78,Thailand,"3,077",1,57,,"2,961",59,59,44,0.8,"375,453","5,380","69,784,967"
79,DRC,"2,966",133,69,,428,"2,469",,33,0.8,,,"89,286,547"
80,Greece,"2,915",6,175,,"1,374","1,366",14,280,17,"178,316","17,101","10,427,224"
81,Ivory Coast,"2,750",,32,,"1,370","1,348",,105,1,"26,548","1,009","26,314,434"
82,Gabon,"2,613",,15,,709,"1,889",15,"1,177",7,"13,833","6,229","2,220,636"
83,Bulgaria,"2,499",14,139,3,"1,064","1,296",22,359,20,"80,742","11,613","6,952,659"
84,Bosnia and Herzegovina,"2,494",9,153,,"1,831",510,4,760,47,"64,623","19,687","3,282,476"
85,El Salvador,"2,395",117,44,2,"1,026","1,325",45,369,7,"86,972","13,415","6,483,357"
86,Croatia,"2,246",1,103,,"2,063",80,4,547,25,"66,144","16,104","4,107,324"
87,North Macedonia,"2,164",35,131,5,"1,535",498,21,"1,039",63,"28,804","13,826","2,083,381"
88,Cuba,"2,025",20,83,1,"1,795",147,3,179,7,"103,123","9,104","11,327,197"
89,Somalia,"1,916",88,73,1,327,"1,516",2,121,5,,,"15,849,098"
90,Kenya,"1,888",143,63,1,464,"1,361",7,35,1,"76,962","1,434","53,657,349"
91,Estonia,"1,865",6,67,,"1,622",176,,"1,406",51,"82,747","62,382","1,326,459"
92,Iceland,"1,806",1,10,,"1,794",2,,"5,295",29,"61,025","178,933","341,049"
93,Kyrgyzstan,"1,722",60,16,,"1,113",593,4,264,2,"109,521","16,813","6,514,168"
94,Mayotte,"1,699",,21,,"1,385",293,9,"6,242",77,"5,200","19,105","272,174"
95,Lithuania,"1,670",8,70,2,"1,229",371,17,613,26,"299,428","109,873","2,725,228"
96,Maldives,"1,633",42,5,,230,"1,398",9,"3,026",9,"11,775","21,820","539,651"
97,Haiti,"1,584",141,35,,22,"1,527",,139,3,"4,106",360,"11,389,903"
98,Sri Lanka,"1,566",8,10,,781,775,1,73,0.5,"62,208","2,906","21,405,475"
99,Slovakia,"1,521",1,28,,"1,356",137,,279,5,"170,995","31,321","5,459,418"
100,New Zealand,"1,504",,22,,"1,481",1,,301,4,"278,872","55,751","5,002,100"
101,Slovenia,"1,473",,108,,"1,357",8,2,709,52,"79,897","38,432","2,078,914"
102,Nepal,"1,401",189,6,,219,"1,176",,48,0.2,"173,784","5,975","29,087,562"
103,Venezuela,"1,370",,14,,302,"1,054",3,48,0.5,"961,899","33,819","28,442,623"
104,Equatorial Guinea,"1,306",,12,,200,"1,094",,934,9,854,611,"1,398,267"
105,Guinea-Bissau,"1,256",,8,,42,"1,206",,640,4,"1,500",764,"1,963,484"
106,Mali,"1,250",24,76,3,696,478,,62,4,"3,483",172,"20,192,489"
107,Lebanon,"1,191",19,26,,708,457,6,174,4,"82,076","12,021","6,827,955"
108,Albania,"1,122",23,33,,857,232,5,390,11,"14,498","5,037","2,878,060"
109,Hong Kong,"1,083",3,4,,"1,036",43,1,145,0.5,"202,930","27,088","7,491,589"
110,Tunisia,"1,076",5,48,,950,78,2,91,4,"51,171","4,334","11,807,501"
111,Latvia,"1,065",1,24,,745,296,3,564,13,"108,174","57,300","1,887,841"
112,Ethiopia,"1,063",95,8,,208,847,5,9,0.07,"106,615",930,"114,685,261"
113,Zambia,"1,057",,7,,779,271,1,58,0.4,"24,275","1,324","18,332,690"
114,Costa Rica,"1,022",,10,,653,359,2,201,2,"25,503","5,010","5,089,969"
115,South Sudan,994,,10,,6,978,,89,0.9,"3,356",300,"11,181,838"
116,Niger,955,,64,,813,78,,40,3,"6,020",250,"24,115,230"
117,Cyprus,944,2,17,,784,143,4,782,14,"111,270","92,219","1,206,584"
118,Paraguay,917,,11,,413,493,1,129,2,"28,337","3,977","7,124,576"
119,CAR,874,,1,,23,850,,181,0.2,"14,557","3,019","4,821,903"
120,Sierra Leone,852,23,46,1,415,391,,107,6,,,"7,961,529"
121,Burkina Faso,847,,53,,720,74,,41,3,,,"20,846,391"
122,Uruguay,816,,22,,680,114,6,235,6,"42,624","12,274","3,472,692"
123,Andorra,764,,51,,692,21,4,"9,889",660,"3,750","48,541","77,254"
124,Chad,759,,65,,470,224,,46,4,,,"16,378,747"
125,Nicaragua,759,,35,,370,354,,115,5,,,"6,617,408"
126,Madagascar,758,60,6,1,165,587,8,27,0.2,"10,249",371,"27,621,064"
127,Georgia,757,11,12,,600,145,6,190,3,"53,618","13,439","3,989,806"
128,Jordan,734,4,9,,507,218,5,72,0.9,"183,641","18,015","10,194,057"
129,Diamond Princess,712,,13,,651,48,4,,,,,0
130,San Marino,671,,42,,357,272,1,"19,779","1,238","4,466","131,643","33,925"
131,Malta,618,2,9,,525,84,1,"1,400",20,"68,038","154,127","441,442"
132,Jamaica,575,6,9,,289,277,2,194,3,"12,078","4,080","2,960,047"
133,Congo,571,,19,,161,391,,104,3,,,"5,504,824"
134,Channel Islands,560,,45,,512,3,,"3,224",259,"10,255","59,032","173,720"
135,Tanzania,509,,21,,183,305,7,9,0.4,,,"59,564,340"
136,R‚union,471,1,1,,411,59,1,526,1,"17,200","19,223","894,749"
137,Sao Tome and Principe,463,,12,,68,383,,"2,116",55,175,800,"218,775"
138,French Guiana,450,,1,,172,277,2,"1,510",3,,,"297,920"
139,Palestine,447,1,3,,368,76,,88,0.6,"44,876","8,817","5,089,925"
140,Taiwan,442,,7,,421,14,,19,0.3,"71,909","3,020","23,813,096"
141,Togo,428,,13,,202,213,,52,2,"19,162","2,320","8,259,905"
142,Mauritania,423,,20,,21,382,,91,4,"2,583",557,"4,637,608"
143,Cabo Verde,421,16,4,,167,250,,758,7,"1,307","2,353","555,443"
144,Rwanda,355,,,,247,108,,27,,"65,608","5,078","12,920,834"
145,Isle of Man,336,,24,,309,3,,"3,953",282,"4,756","55,957","84,994"
146,Mauritius,335,,10,,322,3,,263,8,"114,236","89,837","1,271,588"
147,Uganda,329,,,,72,257,,7,,"94,990","2,083","45,594,205"
148,Vietnam,328,1,,,279,49,1,3,,"275,000","2,827","97,260,527"
149,Montenegro,324,,9,,315,0,,516,14,"10,167","16,188","628,059"
150,Yemen,283,,65,,11,207,,10,2,120,4,"29,762,769"
151,Liberia,280,7,27,,148,105,,55,5,,,"5,046,147"
152,Eswatini,279,,2,,168,109,,241,2,"4,994","4,309","1,159,085"
153,Malawi,273,,4,,42,227,1,14,0.2,"3,372",177,"19,081,339"
154,Mozambique,244,10,2,,90,152,,8,0.06,"10,261",329,"31,168,238"
155,Myanmar,224,17,6,,130,88,,4,0.1,"24,710",454,"54,377,737"
156,Benin,224,,3,,136,85,,19,0.2,"30,817","2,549","12,091,909"
157,Martinique,200,,14,,98,88,,533,37,,,"375,289"
158,Faeroe Islands,187,,,,187,0,,"3,828",,"9,568","195,877","48,847"
159,Mongolia,179,,,,44,135,10,55,,"13,641","4,167","3,273,383"
160,Gibraltar,169,8,,,149,20,,"5,016",,"7,553","224,178","33,692"
161,Guadeloupe,162,,14,,138,10,1,405,35,"4,137","10,339","400,118"
162,Zimbabwe,160,11,4,,29,127,,11,0.3,"46,613","3,140","14,842,996"
163,Guyana,150,,11,,67,72,2,191,14,"1,586","2,017","786,222"
164,Brunei,141,,2,,138,1,1,323,5,"19,130","43,765","437,104"
165,Cayman Islands,141,,1,,68,72,,"2,148",15,"11,139","169,667","65,652"
166,Bermuda,140,,9,,92,39,2,"2,247",144,"6,941","111,418","62,297"
167,Cambodia,125,1,,,123,2,1,7,,"19,842","1,188","16,697,744"
168,Syria,122,,4,,43,75,,7,0.2,,,"17,459,220"
169,Libya,118,,5,,41,72,,17,0.7,"5,154",751,"6,862,735"
170,Trinidad and Tobago,116,,8,,108,0,,83,6,"3,122","2,231","1,399,098"
171,Comoros,106,19,2,,26,78,,122,2,,,"867,826"
172,Bahamas,102,,11,,48,43,1,260,28,"2,087","5,312","392,908"
173,Aruba,101,,3,,98,0,,946,28,"2,117","19,836","106,727"
174,Monaco,98,,4,,90,4,2,"2,499",102,,,"39,217"
175,Barbados,92,,7,,76,9,1,320,24,"5,272","18,347","287,345"
176,Liechtenstein,82,,1,,55,26,,"2,151",26,900,"23,610","38,119"
177,Angola,81,,4,,18,59,,2,0.1,"10,000",305,"32,762,654"
178,Sint Maarten,77,,15,,60,2,1,"1,798",350,450,"10,506","42,832"
179,French Polynesia,60,,,,60,0,,214,,"4,006","14,268","280,766"
180,Macao,45,,,,45,0,,69,,,,"648,524"
181,Burundi,42,,1,,20,21,,4,0.08,284,24,"11,855,161"
182,Saint Martin,41,1,3,,33,5,1,"1,062",78,614,"15,905","38,604"
183,Eritrea,39,,,,39,0,,11,,,,"3,541,919"
184,Botswana,35,,1,,20,14,,15,0.4,"17,991","7,665","2,347,107"
185,Bhutan,33,2,,,6,27,,43,,"16,838","21,844","770,842"
186,St. Vincent Grenadines,26,,,,14,12,,234,,584,"5,266","110,910"
187,Antigua and Barbuda,25,,3,,19,3,1,255,31,183,"1,870","97,857"
188,Gambia,25,,1,,20,4,,10,0.4,"1,756",729,"2,409,904"
189,Timor-Leste,24,,,,24,0,,18,,"1,290",980,"1,316,071"
190,Grenada,23,,,,18,5,4,204,,"3,007","26,734","112,478"
191,Namibia,23,,,,14,9,,9,,"3,412","1,345","2,536,578"
192,Cura‡ao,19,1,1,,14,4,,116,6,572,"3,487","164,035"
193,Laos,19,,,,16,3,,3,,"6,432",885,"7,265,839"
194,New Caledonia,19,,,,18,1,,67,,"6,416","22,492","285,253"
195,Belize,18,,2,,16,0,,45,5,"1,572","3,960","396,949"
196,Fiji,18,,,,15,3,,20,,"2,431","2,714","895,872"
197,Saint Lucia,18,,,,18,0,,98,,"1,012","5,513","183,554"
198,Dominica,16,,,,16,0,,222,,433,"6,016","71,971"
199,Saint Kitts and Nevis,15,,,,15,0,,282,,394,"7,411","53,166"
200,Falkland Islands,13,,,,13,0,,"3,746",,503,"144,957","3,470"
201,Greenland,13,,,,11,2,,229,,"2,030","35,763","56,762"
202,Suriname,12,,1,,9,2,,20,2,782,"1,334","586,164"
203,Turks and Caicos,12,,1,,10,1,,310,26,129,"3,336","38,669"
204,Vatican City,12,,,,2,10,,"14,981",,,,801
205,Montserrat,11,,1,,10,0,,"2,204",200,36,"7,212","4,992"
206,Seychelles,11,,,,11,0,,112,,,,"98,294"
207,MS Zaandam,9,,2,,,7,,,,,,0
208,Western Sahara,9,,1,,6,2,,15,2,,,"595,905"
209,British Virgin Islands,8,,1,,7,0,,265,33,167,"5,527","30,213"
210,Papua New Guinea,8,,,,8,0,,0.9,,"2,402",269,"8,931,009"
211,Caribbean Netherlands,6,,,,6,0,,229,,424,"16,183","26,201"
212,St. Barth,6,,,,6,0,,608,,137,"13,875","9,874"
213,Anguilla,3,,,,3,0,,200,,41,"2,735","14,991"
214,Lesotho,2,,,,1,1,,0.9,,283,132,"2,140,745"
215,Saint Pierre Miquelon,1,,,,1,0,,173,,,,"5,796"
,Total:,"6,086,407","59,989","368,468","2,046","2,697,211","3,020,728","53,559",780.8,47.3,,,
