"","country","elec_rank","elec_consumption_bil_kwh","gas_rank","gas_consumption_k_barrels_per_day","jet_rank","jet_consumption_k_barrels_per_day","pop_rank","pop2020","pop2019","pop_growth_rate","land_area","pop_density","covid_rank","total_cases","new_cases","total_deaths","new_deaths","total_recovered","active_cases","serious_critical_cases","cases_per_M_pop","deaths_per_M_pop","total_tests","tests_per_M_pop","population_covid","pov_rank","pop_below_poverty_line","health_dol_rank","health_expenditure_percent_GDP","beds_rank","bed_density_per_k_pop","life_rank","life_expectancy_at_birth_years","unemployment2019","unemployment2020","covid_inc_unemployment"
"2","Albania",119,4.6,137,2.3,154,0.4,140,2877.797,2880.917,0.9989,28748,100.2128,108,1122,23,33,0,857,232,5,390,11,14498,5037,2878060,137,14.3,83,6.7,78,2.9,59,78.6,12,11.8,-0.2
"3","Algeria",50,45,34,81,56,11,34,43851.044,43053.054,1.0185,2381741,18.0763,54,9267,133,646,8,5549,3072,34,212,15,0,0,43776603,84,23,86,6.6,113,1.9,74,77.2,11.4,15.1,3.7
"10","Argentina",27,126,24,133,29,30,31,45195.774,44780.677,1.0093,2780400,16.1058,44,15419,0,524,4,4788,10107,259,341,12,150486,3332,45158774,75,25.7,61,7.5,34,5,69,77.5,9.8,10.9,1.1
"11","Armenia",114,5.3,127,3.2,126,1,137,2963.243,2957.731,1.0019,29743,99.4429,56,8927,251,127,7,3317,5483,10,3013,43,57081,19266,2962770,53,32,26,9.9,51,4.2,112,75.1,17.7,19,1.3
"14","Austria",39,65,49,40,47,15,97,9006.398,8955.102,1.0057,83871,106.7723,42,16685,30,668,0,15520,497,23,1853,74,442143,49117,9001908,170,3,19,10.4,11,7.6,24,81.7,4.5,5.5,1
"15","Azerbaijan",71,18,61,29,55,11,90,10139.177,10047.718,1.0091,86600,116.0245,67,5246,257,61,3,3327,1858,42,518,6,294264,29046,10131032,165,4.9,77,6.9,43,4.7,141,73,5,5,0
"21","Belarus",58,33,70,25,42,18,95,9449.323,9452.411,0.9997,207600,45.5318,23,41658,894,229,5,17964,23465,92,4408,24,526559,55723,9449585,164,5.7,91,6.3,5,11,139,73.2,0.3,2.3,2
"22","Belgium",34,82,62,28,31,29,79,11589.623,11539.328,1.0044,30528,377.9916,19,58186,125,9453,23,15769,32964,173,5022,816,848065,73202,11585252,129,15.1,25,10,23,6.2,31,81.2,5.4,7.3,1.9
"23","Belize",165,0.4,160,1,153,0.4,177,397.628,390.353,1.0186,22966,16.997,195,18,0,2,0,16,0,0,45,5,1572,3960,396949,37,41,100,6.1,136,1.3,120,74.7,9.1,18.7,9.6
"27","Bolivia",104,7,75,20,94,2.8,81,11673.021,11513.1,1.0139,1098581,10.48,57,8731,344,300,7,749,7682,3,749,26,22294,1912,11658434,41,38.6,78,6.9,145,1.1,159,69.8,4,8,4
"28","Bosnia and Herzegovina",84,12,115,4.5,171,0.1,135,3280.819,3301,0.9939,51209,64.4613,84,2494,9,153,0,1831,510,4,760,47,64623,19687,3282476,120,16.9,35,9.2,65,3.5,77,77.1,15.7,18,2.3
"30","Brazil",9,480,8,530,9,126,6,212559.417,211049.527,1.0072,8515767,24.7834,2,469510,1172,28015,71,193181,248314,8318,2210,132,930013,4378,212426274,166,4.2,9,11.8,102,2.2,123,74.3,11.9,14.7,2.8
"34","Bulgaria",62,29,90,12,85,3.7,107,6948.445,7000.119,0.9926,110879,63.133,83,2499,14,139,3,1064,1296,22,359,20,80742,11613,6952659,82,23.4,47,8.2,16,6.8,119,74.8,4.2,8,3.8
"42","Canada",7,533,5,791,16,92,39,37742.154,37411.047,1.0089,9984670,3.7468,14,90161,743,7073,94,48050,35038,1618,2391,188,1596449,42332,37712703,152,9.4,17,10.5,89,2.7,19,82,5.7,7.5,1.8
"50","Chile",38,65,44,62,38,20,62,19116.201,18952.038,1.0087,756102,25.0655,13,94858,4220,997,53,40431,53430,1371,4966,52,563320,29491,19101613,135,14.4,42,8.5,100,2.2,50,79.1,7.3,9.7,2.4
"53","Colombia",47,47,33,83,36,21,29,50882.891,50339.443,1.0108,1141748,44.0898,31,26688,0,853,0,6913,18922,136,525,17,306411,6028,50834077,71,28,113,5.9,124,1.5,89,76.2,10.5,12.2,1.7
"60","Costa Rica",94,8.9,78,17,84,3.7,120,5094.118,5047.561,1.0092,51100,98.7781,114,1022,0,10,0,653,359,2,201,2,25503,5010,5089969,99,21.7,60,7.6,146,1.1,55,78.9,12.4,12.5,0.1
"62","Croatia",76,15,82,14,98,2.5,130,4105.267,4130.304,0.9939,56594,72.9813,86,2246,1,103,0,2063,80,4,547,25,66144,16104,4107324,111,19.5,66,7.2,30,5.6,85,76.3,7.8,11.5,3.7
"69","Denmark",59,33,56,33,41,18,115,5792.202,5771.876,1.0035,43094,133.9369,47,11633,40,571,3,10327,735,20,2009,99,618860,106876,5790443,142,13.4,20,10.4,94,2.5,35,81,5,6.5,1.5
"73","Dominican Republic",85,12,65,27,57,10,85,10847.91,10738.958,1.0101,48671,220.6439,43,16531,0,488,0,9266,6777,106,1525,45,76930,7098,10838156,57,30.5,98,6.2,121,1.6,151,71.3,6.2,9,2.8
"77","Ecuador",70,20,42,65,67,6.9,67,17643.054,17373.662,1.0155,276841,62.7568,24,38571,0,3334,0,19190,16047,220,2189,189,113808,6460,17618288,102,21.5,44,8.4,123,1.5,78,77.1,3.8,6.5,2.7
"78","Egypt",25,140,25,126,32,29,14,102334.404,100388.073,1.0194,1002450,100.1427,37,22082,0,879,0,5511,15692,41,216,9,135000,1322,102152100,72,27.8,141,4.6,120,1.6,138,73.2,8.6,10.3,1.7
"79","El Salvador",110,5.9,93,10,97,2.6,111,6486.205,6453.553,1.0051,21041,306.7132,85,2395,117,44,2,1026,1325,45,369,7,86972,13415,6483357,51,32.7,70,7,134,1.3,111,75.1,6.7,7.9,1.2
"82","Estonia",99,8,111,5.8,134,0.8,155,1326.535,1325.648,1.0007,45227,29.311,91,1865,6,67,0,1622,176,0,1406,51,82747,62382,1326459,104,21.1,84,6.7,33,5,79,77,4.4,6,1.6
"90","Fiji",156,0.8,161,1,90,3.1,161,896.445,889.953,1.0073,18272,48.7058,196,18,0,0,0,15,3,0,20,0,2431,2714,895872,55,31,166,3.6,98,2.3,137,73.2,4.5,13.4,8.9
"92","France",10,453,20,180,7,146,22,65273.511,65129.728,1.0022,551695,118.0539,7,186835,0,28714,0,67803,90318,1361,2863,440,1384633,21217,65261155,138,14.2,12,11.1,20,6.5,20,82,8.5,10.4,1.9
"100","Germany",6,534,10,427,6,187,17,83783.942,83517.045,1.0032,357114,233.8666,8,183149,130,8598,4,164900,9651,729,2187,103,3952971,47194,83760886,121,16.7,11,11.2,8,8.3,39,80.9,3.2,3.9,0.7
"103","Greece",44,53,39,68,37,21,87,10423.054,10473.455,0.9952,131990,79.3504,80,2915,6,175,0,1374,1366,14,280,17,178316,17101,10427224,48,36,45,8.4,48,4.3,40,80.8,17.3,22.3,5
"114","Honduras",113,5.4,91,12,125,1,93,9904.607,9746.117,1.0163,112492,86.6383,68,4886,134,199,3,528,4159,13,494,20,14790,1495,9889983,64,29.6,57,7.6,164,0.7,150,71.3,4.1,8,3.9
"117","Hungary",57,37,59,30,87,3.6,94,9660.351,9684.679,0.9975,93028,104.105,72,3867,26,524,7,2142,1201,22,400,54,183562,18998,9662389,134,14.9,67,7.2,15,7,86,76.3,3.4,5.4,2
"120","Indonesia",21,185,7,530,21,64,4,273523.615,270625.568,1.0107,1904569,142.0928,33,25773,557,1573,53,7015,17185,0,94,6,311906,1141,273263419,147,10.9,173,3.3,143,1.2,140,73.2,5.3,7.5,2.2
"124","Ireland",65,24,60,29,53,12,124,4937.786,4882.495,1.0113,70273,69.479,34,24929,53,1651,6,22089,1189,42,5054,335,325795,66047,4932806,158,8.2,52,7.8,80,2.8,34,81,5,12.1,7.1
"126","Israel",46,49,43,63,44,17,101,8655.535,8519.377,1.016,20770,410.177,40,17008,21,284,0,14776,1948,39,1849,31,567429,61693,9197590,95,22,62,7.4,71,3.1,10,82.7,3.8,12,8.2
"127","Italy",12,294,16,216,18,82,23,60461.826,60550.075,0.9985,301336,200.9387,6,232664,416,33340,111,155633,43691,450,3848,551,3824621,63249,60469262,61,29.9,38,9,67,3.4,15,82.4,10,12.7,2.7
"130","Japan",3,935,3,978,5,202,11,126476.461,126860.301,0.997,377930,335.6714,41,16719,0,874,0,14254,1591,131,132,7,284763,2251,126508530,126,16.1,14,10.9,2,13.4,2,85.5,2.4,3,0.6
"133","Kazakhstan",36,78,31,89,69,6.8,64,18776.707,18551.427,1.0121,2724900,6.8081,52,10382,450,38,1,5220,5124,62,554,2,788289,42028,18756335,171,2.6,157,3.9,17,6.7,148,71.4,4.8,7.8,3
"143","Latvia",106,6.8,114,5.1,99,2.5,151,1886.198,1906.743,0.9892,64559,29.5349,111,1065,1,24,0,745,296,3,564,13,108174,57300,1887841,77,25.5,117,5.8,26,5.8,116,74.9,6.3,8,1.7
"149","Lithuania",92,9.5,125,3.3,49,14,142,2722.289,2759.627,0.9865,65300,42.2608,95,1670,8,70,2,1229,371,17,613,26,299428,109873,2725228,94,22.2,89,6.5,13,7.3,110,75.2,6.3,8.9,2.6
"158","Malaysia",28,125,18,196,20,69,44,32365.999,31949.777,1.013,330803,96.5825,61,7762,30,115,0,6330,1317,9,240,4,546368,16901,32328196,167,3.8,155,4,112,1.9,105,75.4,3.3,4.9,1.6
"161","Malta",140,1.8,144,1.7,101,2.2,174,441.543,440.372,1.0027,316,1393.5823,131,618,2,9,0,525,84,1,1400,20,68038,154127,441442,124,16.3,29,9.6,42,4.7,11,82.7,3.4,5,1.6
"165","Mauritius",135,2.6,131,2.9,75,5.5,157,1271.768,1269.668,1.0017,2040,622.3863,146,335,0,10,0,322,3,0,263,8,114236,89837,1271588,159,8,124,5.5,61,3.7,93,76,6.7,17,10.3
"167","Mexico",15,232,6,777,23,58,10,128932.753,127575.529,1.0106,1964375,64.9446,15,84627,3227,9415,371,59610,15602,378,657,73,244858,1901,128810940,31,46.2,111,5.9,125,1.5,87,76.3,3.3,5.3,2
"173","Mongolia",116,5.1,100,9.1,137,0.8,136,3278.29,3225.167,1.0165,1564110,2.062,159,179,0,0,0,44,135,10,55,0,13641,4167,3273383,62,29.6,158,3.9,14,7,158,70.2,7,6.3,-0.7
"176","Morocco",63,27,83,13,54,11,40,36910.56,36471.769,1.012,446550,81.6745,62,7740,26,203,1,5377,2160,1,210,6,196469,5329,36870903,131,15,123,5.5,144,1.1,73,77.3,9.2,12.5,3.3
"183","Netherlands",31,107,30,96,19,72,68,17134.872,17097.13,1.0022,41850,408.5336,21,46257,131,5951,20,0,0,170,2700,347,349150,20380,17131629,156,8.8,15,10.7,41,4.7,27,81.5,3.4,6.5,3.1
"186","Nicaragua",126,3.6,112,5.7,145,0.5,110,6624.554,6545.502,1.0121,130373,50.206,125,759,0,35,0,370,354,0,115,5,0,0,6617408,63,29.6,54,7.8,151,0.9,131,73.7,6.1,11.1,5
"196","Pakistan",37,77,36,78,81,4,5,220892.34,216565.318,1.02,881912,245.5634,18,66457,2429,1395,78,24131,40931,111,301,6,532037,2413,220485909,66,29.5,181,2.7,169,0.6,166,68.4,4.1,4.5,0.4
"199","Panama",102,7.5,80,16,58,10,128,4314.767,4246.439,1.0161,75417,56.3061,46,12531,0,326,0,7540,4665,79,2908,76,63202,14669,4308467,87,23,72,7,99,2.3,53,78.9,7.1,8.8,1.7
"201","Paraguay",95,8.9,103,8.5,140,0.6,106,7132.538,7044.636,1.0125,406752,17.3192,118,917,0,11,0,413,493,1,129,2,28337,3977,7124576,93,22.2,53,7.8,138,1.3,66,77.6,7.2,7.1,-0.1
"202","Peru",56,37,53,36,50,14,43,32971.854,32510.453,1.0142,1285216,25.2957,12,148285,0,4230,0,62791,81264,926,4503,128,963617,29263,32929707,90,22.7,128,5.3,119,1.6,125,74.2,6.6,7.1,0.5
"203","Philippines",40,64,38,68,28,31,13,109581.078,108116.615,1.0135,342353,315.8045,39,17224,590,950,8,3808,12466,56,157,9,340954,3115,109447729,100,21.6,147,4.4,149,1,160,69.6,5.1,6.2,1.1
"204","Poland",24,145,32,88,52,12,38,37846.611,37887.768,0.9989,312679,121.1715,35,23571,416,1061,10,11016,11494,160,623,28,899069,23753,37850086,117,17.6,93,6.3,18,6.5,65,77.9,3.3,9.9,6.6
"205","Portugal",49,46,67,26,35,22,88,10196.709,10226.187,0.9971,92090,111.0456,28,32203,257,1396,13,19186,11621,66,3157,137,795838,78030,10199174,113,19,39,9,68,3.4,37,80.9,6.5,13.9,7.4
"211","Romania",52,43,57,32,93,3,61,19237.691,19364.557,0.9934,238391,81.2302,38,19133,151,1259,11,13046,4828,160,994,65,425819,22123,19248085,92,22.4,136,5,22,6.3,103,75.6,3.9,10.1,6.2
"229","Serbia",61,29,97,9.7,111,1.6,99,8737.371,8772.235,0.996,88361,99.2772,49,11381,27,242,0,6606,4533,10,1302,28,242782,27777,8740269,155,8.9,31,9.4,29,5.7,96,75.9,10.9,13.4,2.5
"230","Seychelles",175,0.3,180,0.4,123,1.1,199,98.347,97.739,1.0062,452,216.2367,206,11,0,0,0,11,0,0,112,0,0,0,98294,39,39.3,171,3.4,64,3.6,109,75.2,3,3,0
"236","Slovenia",83,13,89,12,147,0.5,149,2078.938,2078.654,1.0001,20273,102.5331,101,1473,0,108,0,1357,8,2,709,52,79897,38432,2078914,141,13.9,43,8.5,44,4.6,32,81.2,4.6,9,4.4
"240","South Korea",8,487,19,189,14,109,28,51269.185,51225.308,1.0009,100210,511.1796,48,11441,39,269,0,10398,774,15,223,5,902901,17612,51265441,136,14.4,63,7.4,4,11.5,13,82.5,3.8,4.5,0.7
"242","Spain",14,235,28,114,13,114,30,46754.778,46736.776,1.0004,505992,92.3666,4,285644,0,27121,0,196958,61565,617,6110,580,3556567,76071,46753246,105,21.1,36,9.2,73,3,23,81.8,14.1,20.8,6.7
"243","Sri Lanka",89,10,77,18,60,9.1,58,21413.249,21323.733,1.0042,65610,325.0074,98,1566,8,10,0,781,775,1,73,0.5,62208,2906,21405475,162,6.7,178,3,63,3.6,76,77.1,4.9,6.3,1.4
"247","Suriname",145,1.4,128,3.2,130,0.9,171,586.632,581.372,1.009,163820,3.5488,202,12,0,1,0,9,2,0,20,2,782,1334,586164,6,70,88,6.5,70,3.1,144,72.8,8.6,9.5,0.9
"249","Sweden",26,129,41,67,40,18,91,10099.265,10036.379,1.0063,450295,22.2885,25,37113,637,4395,45,4971,27747,190,3677,435,238800,23658,10093745,132,15,13,11,96,2.4,17,82.2,6.8,10.1,3.3
"250","Switzerland",42,58,40,68,27,34,100,8654.622,8591.365,1.0074,41284,208.104,29,30845,17,1919,0,28400,526,27,3566,222,394717,45637,8649038,163,6.6,8,12.1,40,4.7,12,82.7,2.3,2.7,0.4
"259","Thailand",22,158,26,123,17,83,20,69799.978,69625.582,1.0025,513120,135.6906,78,3077,1,57,0,2961,59,59,44,0.8,375453,5380,69784967,161,7.2,164,3.8,105,2.1,113,75.1,1.1,1.1,0
"265","Trinidad and Tobago",96,8.7,88,12,73,5.8,153,1399.488,1394.973,1.0032,5130,271.9246,170,116,0,8,0,108,0,0,83,6,3122,2231,1399098,106,20,105,6,74,3,135,73.4,5,5,0
"267","Turkey",20,195,48,41,30,30,18,84339.067,83429.615,1.0109,783562,106.4748,10,162120,0,4489,0,125963,31668,662,1924,53,1964364,23314,84257335,98,21.9,152,4.1,85,2.7,107,75.3,13.7,17.2,3.5
"273","Ukraine",23,151,37,76,72,6.2,33,43733.762,43993.638,0.9941,603500,72.8975,36,23204,393,696,17,9311,13197,273,530,16,348279,7960,43755130,168,3.8,104,6.1,6,8.8,146,72.4,8.5,10.1,1.6
"275","United Kingdom",11,319,14,320,4,242,21,67886.011,67530.172,1.0053,242900,278.0164,5,272826,1604,38376,215,0,0,1559,4021,566,4043686,59593,67854937,133,15,27,9.9,82,2.8,38,80.9,3.8,4.8,1
"276","United States",2,3868,1,8682,1,1398,3,331002.651,329064.917,1.0059,9372610,35.1092,1,1802180,8650,104786,244,520928,1176466,17203,5447,317,16908725,51110,330832890,128,15.1,3,16.8,76,2.9,44,80.1,3.7,10.4,6.7
"278","Uruguay",90,9.8,92,11,104,2,134,3473.73,3461.734,1.0035,181034,19.122,122,816,0,22,0,680,114,6,235,6,42624,12274,3472692,150,9.7,37,9.2,83,2.8,67,77.6,9.4,10.5,1.1
