Longevity measured by life expectancy,,,
Rank,Country,Life expectancy at birth (years),
1,Monaco,89.4,
2,Japan,85.5,
3,Singapore,85.5,
4,Macau,84.6,
5,San Marino,83.4,
6,Iceland,83.1,
7,Hong Kong,83.1,
8,Andorra,82.9,
9,Guernsey,82.7,
10,Israel,82.7,
11,Malta,82.7,
12,Switzerland,82.7,
13,"Korea, South",82.5,
14,Luxembourg,82.4,
15,Italy,82.4,
16,Australia,82.4,
17,Sweden,82.2,
18,Norway,82,
19,Canada,82,
20,France,82,
21,Jersey,82,
22,Liechtenstein,82,
23,Spain,81.8,
24,Austria,81.7,
25,Anguilla,81.6,
26,Bermuda,81.5,
27,Netherlands,81.5,
28,New Zealand,81.4,
29,Cayman Islands,81.4,
30,Isle of Man,81.4,
31,Belgium,81.2,
32,Slovenia,81.2,
33,Finland,81.1,
34,Ireland,81,
35,Denmark,81,
36,Puerto Rico,81,
37,Portugal,80.9,
38,United Kingdom,80.9,
39,Germany,80.9,
40,Greece,80.8,
41,Saint Pierre and Miquelon,80.7,
42,Faroe Islands,80.6,
43,Taiwan,80.4,
44,United States,80.1,
45,Turks and Caicos Islands,80.1,
46,Wallis and Futuna,80,
47,Saint Helena,79.8,
48,Gibraltar,79.7,
49,Virgin Islands,79.5,
50,Chile,79.1,
51,Bahrain,79.1,
52,Qatar,79,
53,Panama,78.9,
54,British Virgin Islands,78.9,
55,Costa Rica,78.9,
56,Cuba,78.9,
57,Czech Republic,78.9,
58,United Arab Emirates,78.7,
59,Albania,78.6,
60,Kuwait,78.3,
61,Saint Lucia,78.1,
62,New Caledonia,78,
63,Lebanon,77.9,
64,Falkland Islands (Islas Malvinas),77.9,
65,Poland,77.9,
66,Paraguay,77.6,
67,Uruguay,77.6,
68,French Polynesia,77.5,
69,Argentina,77.5,
70,Brunei,77.5,
71,Dominica,77.4,
72,Slovakia,77.4,
73,Morocco,77.3,
74,Algeria,77.2,
75,Aruba,77.1,
76,Sri Lanka,77.1,
77,Bosnia and Herzegovina,77.1,
78,Ecuador,77.1,
79,Estonia,77,
80,Antigua and Barbuda,76.9,
81,Libya,76.9,
82,Georgia,76.6,
83,Tonga,76.6,
84,Guam,76.4,
85,Croatia,76.3,
86,Hungary,76.3,
87,Mexico,76.3,
88,Cook Islands,76.2,
89,Colombia,76.2,
90,Venezuela,76.2,
91,Saint Kitts and Nevis,76.2,
92,Maldives,76,
93,Mauritius,76,
94,Oman,75.9,
95,Macedonia,75.9,
96,Serbia,75.9,
97,Tunisia,75.9,
98,Saint Vincent and the Grenadines,75.8,
99,China,75.8,
100,Solomon Islands,75.8,
101,Barbados,75.7,
102,Saudi Arabia,75.7,
103,Romania,75.6,
104,Northern Mariana Islands,75.6,
105,Malaysia,75.4,
106,West Bank,75.4,
107,Turkey,75.3,
108,Syria,75.2,
109,Seychelles,75.2,
110,Lithuania,75.2,
111,El Salvador,75.1,
112,Armenia,75.1,
113,Thailand,75.1,
114,Jordan,75,
115,Iraq,74.9,
116,Latvia,74.9,
117,Montserrat,74.8,
118,Grenada,74.8,
119,Bulgaria,74.8,
120,Belize,74.7,
121,Jamaica,74.5,
122,Gaza Strip,74.4,
123,Brazil,74.3,
124,Uzbekistan,74.3,
125,Peru,74.2,
126,Samoa,74.2,
127,Iran,74.2,
128,Vanuatu,74,
129,American Samoa,73.9,
130,Vietnam,73.9,
131,Nicaragua,73.7,
132,Bangladesh,73.7,
133,Marshall Islands,73.6,
134,Palau,73.6,
135,Trinidad and Tobago,73.4,
136,"Micronesia, Federated States of",73.4,
137,Fiji,73.2,
138,Egypt,73.2,
139,Belarus,73.2,
140,Indonesia,73.2,
141,Azerbaijan,73,
142,"Bahamas, The",72.9,
143,Greenland,72.9,
144,Suriname,72.8,
145,Cape Verde,72.7,
146,Ukraine,72.4,
147,Guatemala,71.8,
148,Kazakhstan,71.4,
149,Moldova,71.3,
150,Honduras,71.3,
151,Dominican Republic,71.3,
152,Nepal,71.3,
153,Russia,71.3,
154,Kyrgyzstan,71.2,
155,Bhutan,71.1,
156,"Korea, North",71,
157,Turkmenistan,70.7,
158,Mongolia,70.2,
159,Bolivia,69.8,
160,Philippines,69.6,
161,India,69.1,
162,Guyana,68.9,
163,East Timor,68.7,
164,Burma,68.6,
165,Tajikistan,68.4,
166,Pakistan,68.4,
167,Gabon,68,
168,Nauru,67.8,
169,Papua New Guinea,67.5,
170,Ghana,67.4,
171,Tuvalu,67.2,
172,Kiribati,66.9,
173,Madagascar,66.6,
174,Yemen,66.2,
175,Togo,65.8,
176,Sudan,65.8,
177,Sao Tome and Principe,65.7,
178,Eritrea,65.6,
179,"Gambia, The",65.4,
180,Cambodia,65.2,
181,Equatorial Guinea,65,
182,Laos,65,
183,Comoros,64.9,
184,Kenya,64.6,
185,Haiti,64.6,
186,Rwanda,64.5,
187,Namibia,64.4,
188,South Africa,64.1,
189,Djibouti,64,
190,Botswana,63.8,
191,Liberia,63.8,
192,Mauritania,63.8,
193,Western Sahara,63.8,
194,Tanzania,63.1,
195,Benin,62.7,
196,Senegal,62.5,
197,Malawi,62.2,
198,Guinea,62.1,
199,Burkina Faso,61.8,
200,Guinea-Bissau,61.4,
201,Burundi,61.4,
202,Zimbabwe,61.1,
203,Mali,60.8,
204,Angola,60.6,
205,"Congo, Republic of the",60.3,
206,Cote d'Ivoire,60.1,
207,Cameroon,59.4,
208,Nigeria,59.3,
209,Sierra Leone,59,
210,"Congo, Democratic Republic of the",58.1,
211,Chad,57.5,
212,Niger,56.3,
213,Uganda,56.3,
214,Mozambique,54.1,
215,Central African Republic,53.3,
216,Somalia,53.2,
217,Zambia,53,
218,Lesotho,53,
219,Afghanistan,52.1,
